run,team,toSet,toStart,start,gate1,gate2,finish,abort
,,,,19:39:37,19:39:41,19:39:42,19:39:42,
-,,20:06:50,,20:06:51,20:06:55,20:06:57,20:07:00,
-,Team INCRAFT,12:50:50,12:50:51,,,,,
-,,13:01:03,13:01:04,13:01:04,,,,
-,Gdańsk Tech HPS Team,13:11:51,13:11:52,13:11:52,13:11:53,,,13:12:10
-,Team INCRAFT,13:31:56,13:31:57,13:31:58,13:31:58,13:31:58,13:31:58,
17,SUBC,14:20:10,,15:29:14,,,,
,,,15:29:17,15:30:51,15:32:10,15:32:31,,15:38:48
17,UVic Submarine Racing Club,14:48:56,15:02:01,15:02:35,,,,15:03:30
18,OMER,15:48:56,15:41:11,15:44:06,15:16:43,15:16:51,15:18:01,15:45:19
,,,15:52:20,,,,,
24,Michigan HPS,15:54:06,15:58:48,16:00:05,,,,16:00:22
-,UVic Submarine Racing Club,16:09:58,16:13:25,16:14:11,,,,16:14:55
-,Team MAKO,16:29:46,,,,,,
-,Gdańsk Tech HPS Team,17:24:05,17:24:06,17:24:07,17:24:08,17:24:09,17:24:10,17:24:13
,,,,17:24:17,17:24:23,17:24:23,17:24:24,
,,,17:24:42,17:24:42,17:24:43,17:24:43,,
,,,,17:24:50,17:24:50,17:24:51,,
